"id","ip_address","name","type","db_number","start_offset","bit_offset","size","read_allow","write_allow","frequency","group_id","created_at"
"1","192.168.0.3","看门狗","bool","889","0","0","1","1","0","500","1","4/8/2025 17:41:25"
"2","192.168.0.3","18#有钢信号","bool","889","0","1","1","1","0","500","1","4/8/2025 17:41:25"
"3","192.168.0.3","炉号","dint","889","4","0","4","1","0","500","1","4/8/2025 17:41:25"
"4","192.168.0.3","定尺","dint","889","8","0","4","1","0","500","1","4/8/2025 17:41:25"
"5","192.168.0.3","流号（末架）","int","889","36","0","2","1","0","500","1","4/8/2025 17:41:25"
"6","192.168.0.3","尾钢长度（热检）","int","889","38","0","2","1","0","500","1","4/8/2025 17:41:25"
"7","192.168.0.3","轧制规格","real","889","52","0","4","1","0","500","1","4/8/2025 17:41:25"
"8","192.168.0.3","尾钢长度（激光）","real","889","56","0","4","1","0","500","1","4/8/2025 17:41:25"
"9","192.168.0.3","轧前温度","real","889","60","0","4","1","0","500","1","4/8/2025 17:41:25"
"10","192.168.0.3","1流修正值","real","889","64","0","4","1","0","500","1","4/8/2025 17:41:25"
"11","192.168.0.3","2流修正值","real","889","68","0","4","1","0","500","1","4/8/2025 17:41:25"
"12","192.168.0.3","3流修正值","real","889","72","0","4","1","0","500","1","4/8/2025 17:41:25"
"13","192.168.0.3","4流修正值","real","889","76","0","4","1","0","500","1","4/8/2025 17:41:25"
"14","192.168.0.3","5流修正值","real","889","80","0","4","1","0","500","1","4/8/2025 17:41:25"
"15","192.168.0.3","6流修正值","real","889","84","0","4","1","0","500","1","4/8/2025 17:41:25"
"16","192.168.0.3","7流修正值","real","889","88","0","4","1","0","500","1","4/8/2025 17:41:25"
"17","192.168.0.3","8流修正值","real","889","92","0","4","1","0","500","1","4/8/2025 17:41:25"
"18","192.168.0.3","1流炼钢反馈重量","real","889","96","0","4","1","0","500","1","4/8/2025 17:41:25"
"19","192.168.0.3","2流炼钢反馈重量","real","889","100","0","4","1","0","500","1","4/8/2025 17:41:25"
"20","192.168.0.3","3流炼钢反馈重量","real","889","104","0","4","1","0","500","2","4/8/2025 17:41:25"
"21","192.168.0.3","4流炼钢反馈重量","real","889","108","0","4","1","0","500","2","4/8/2025 17:41:25"
"22","192.168.0.3","5流炼钢反馈重量","real","889","112","0","4","1","0","500","2","4/8/2025 17:41:25"
"23","192.168.0.3","6流炼钢反馈重量","real","889","116","0","4","1","0","500","2","4/8/2025 17:41:25"
"24","192.168.0.3","7流炼钢反馈重量","real","889","120","0","4","1","0","500","2","4/8/2025 17:41:25"
"25","192.168.0.3","8流炼钢反馈重量","real","889","124","0","4","1","0","500","2","4/8/2025 17:41:25"
"26","192.168.0.3","米重","real","889","128","0","4","1","0","500","2","4/8/2025 17:41:25"
"27","192.168.0.3","尾钢设定","real","889","132","0","4","1","0","500","2","4/8/2025 17:41:25"
"28","192.168.0.3","1#设定速度","real","889","136","0","4","1","0","500","2","4/8/2025 17:41:25"
"29","192.168.0.3","2#设定速度","real","889","140","0","4","1","0","500","2","4/8/2025 17:41:25"
"30","192.168.0.3","3#设定速度","real","889","144","0","4","1","0","500","2","4/8/2025 17:41:25"
"31","192.168.0.3","4#设定速度","real","889","148","0","4","1","0","500","2","4/8/2025 17:41:25"
"32","192.168.0.3","5#设定速度","real","889","152","0","4","1","0","500","2","4/8/2025 17:41:25"
"33","192.168.0.3","6#设定速度","real","889","156","0","4","1","0","500","2","4/8/2025 17:41:25"
"34","192.168.0.3","7#设定速度","real","889","160","0","4","1","0","500","2","4/8/2025 17:41:25"
"35","192.168.0.3","8#设定速度","real","889","164","0","4","1","0","500","2","4/8/2025 17:41:25"
"36","192.168.0.3","9#设定速度","real","889","168","0","4","1","0","500","2","4/8/2025 17:41:25"
"37","192.168.0.3","10#设定速度","real","889","172","0","4","1","0","500","2","4/8/2025 17:41:25"
"38","192.168.0.3","11#设定速度","real","889","176","0","4","1","0","500","2","4/8/2025 17:41:25"
"39","192.168.0.3","12#设定速度","real","889","180","0","4","1","0","500","3","4/8/2025 17:41:25"
"40","192.168.0.3","13#设定速度","real","889","184","0","4","1","0","500","3","4/8/2025 17:41:25"
"41","192.168.0.3","14#设定速度","real","889","188","0","4","1","0","500","3","4/8/2025 17:41:25"
"42","192.168.0.3","15#设定速度","real","889","192","0","4","1","0","500","3","4/8/2025 17:41:25"
"43","192.168.0.3","16#设定速度","real","889","196","0","4","1","0","500","3","4/8/2025 17:41:25"
"44","192.168.0.3","17#设定速度","real","889","200","0","4","1","0","500","3","4/8/2025 17:41:25"
"45","192.168.0.3","18#设定速度","real","889","204","0","4","1","0","500","3","4/8/2025 17:41:25"
"46","192.168.0.3","1#辊径","real","889","208","0","4","1","0","500","3","4/8/2025 17:41:25"
"47","192.168.0.3","2#辊径","real","889","212","0","4","1","0","500","3","4/8/2025 17:41:25"
"48","192.168.0.3","3#辊径","real","889","216","0","4","1","0","500","3","4/8/2025 17:41:25"
"49","192.168.0.3","4#辊径","real","889","220","0","4","1","0","500","3","4/8/2025 17:41:25"
"50","192.168.0.3","5#辊径","real","889","224","0","4","1","0","500","3","4/8/2025 17:41:25"
"51","192.168.0.3","6#辊径","real","889","228","0","4","1","0","500","3","4/8/2025 17:41:25"
"52","192.168.0.3","7#辊径","real","889","232","0","4","1","0","500","3","4/8/2025 17:41:25"
"53","192.168.0.3","8#辊径","real","889","236","0","4","1","0","500","3","4/8/2025 17:41:25"
"54","192.168.0.3","9#辊径","real","889","240","0","4","1","0","500","3","4/8/2025 17:41:25"
"55","192.168.0.3","10#辊径","real","889","244","0","4","1","0","500","3","4/8/2025 17:41:25"
"56","192.168.0.3","11#辊径","real","889","248","0","4","1","0","500","3","4/8/2025 17:41:25"
"57","192.168.0.3","12#辊径","real","889","252","0","4","1","0","500","3","4/8/2025 17:41:25"
"58","192.168.0.3","13#辊径","real","889","256","0","4","1","0","500","4","4/8/2025 17:41:25"
"59","192.168.0.3","14#辊径","real","889","260","0","4","1","0","500","4","4/8/2025 17:41:25"
"60","192.168.0.3","15#辊径","real","889","264","0","4","1","0","500","4","4/8/2025 17:41:25"
"61","192.168.0.3","16#辊径","real","889","268","0","4","1","0","500","4","4/8/2025 17:41:25"
"62","192.168.0.3","17#辊径","real","889","272","0","4","1","0","500","4","4/8/2025 17:41:25"
"63","192.168.0.3","18#辊径","real","889","276","0","4","1","0","500","4","4/8/2025 17:41:25"
"64","192.168.0.3","棒一变棒三定尺","bool","889","0","2","1","1","0","500","4","15/8/2025 15:24:59"
"65","192.168.0.3","轧钢启用倍尺","bool","889","0","3","1","1","0","500","4","15/8/2025 15:26:07"
"66","192.168.0.3","触发信号","bool","889","0","3","1","1","0","500","4","4/9/2025 16:57:10"
"67","192.168.0.3","取样标志","int","889","40","0","2","1","0","500","4","4/9/2025 16:57:10"
